Id,ParentId,OwnerUserId,Tags
"48818746","48818676","5003873","<python><syntax>"
"48818750","48818700","1385774","<sql><sql-server><max>"
"48818775","48818691","4909087","<python><pandas><indexing>"
"48818788","48818743","2341603","<javascript>"
"48818815","48818699","712603","<r><loops><dplyr>"
"48818860","48818804","8751754","<c++>"
"48818868","48818704","1995738","<sql><json><postgresql><database-migration>"
"48818873","48818773","4091327","<javascript><codepen>"
"48818879","48818780","5683823","<oracle><plsql><user-defined-types>"
"48818895","48818848","2341603","<jquery>"
"48818909","48818877","106104","<c++><windows><console-application>"
"48818924","48818841","7795468","<mysql><sql>"
"48818976","48818798","2749717","<c++><c++11>"
"48818977","48818899","5346306","<c><struct>"
"48818992","48818875","6530970","<r><dplyr>"
"48818997","48818833","5956579","<python><apache><ubuntu><flask>"
"48819000","48818834","2192494","<c><colors>"
"48819012","48819006","1749403","<angular>"
"48819035","48818882","1264473","<php><json><guzzle>"
"48819036","48818662","1566221","<python-3.x><parsing><yacc><lex><ply>"
"48819044","48818781","2707792","<scala><type-erasure>"
"48819051","48818933","12730","<javascript><node.js><koa>"
"48819118","48819034","5820010","<ios><swift><swift4>"
"48819120","48819023","1863229","<sql><psql>"
"48819143","48818881","1271826","<ios><swift>"
"48819150","48818794","2310289","<java><android><arrays>"
"48819163","48819022","5851928","<python><tensorflow><deep-learning>"
"48819283","48818931","2308303","<ios><swift><dictionary>"
"48819284","48818741","1475324","<bash>"
"48819328","48818891","5866580","<awk>"
"48819362","48818985","189946","<r><import><r-haven>"
"48819382","48818986","177260","<razor><asp.net-core-mvc><model-binding>"
"48819493","48818927","3372172","<ruby-on-rails>"
"48819771","48818692","775345","<node.js><mongodb><express><mongoose><pug>"
"48819793","48818839","498256","<serverless-framework>"
"48819902","48819030","4758255","<android><android-studio><android-hardware><android-api-levels>"
"48820020","48819017","7675437","<vba><excel>"
"48820108","48818914","812183","<docker><npm>"
"48820916","48818824","9367575","<python><flask>"
"48821203","48821125","5710036","<mongodb>"
"48821213","48821085","2193767","<java><string><coordinates><preg-split>"
"48821250","48821065","4826457","<javascript><angular><google-maps><typescript><ionic-framework>"
"48821282","48821219","8041231","<delphi><tvirtualstringtree>"
"48821293","48821234","66686","<spring-boot><spring-data-jpa>"
"48821300","48821087","5325218","<php><laravel><laravel-5>"
"48821307","48821185","125734","<javascript><jquery><typescript><webstorm>"
"48821310","48821180","5375403","<java><multithreading><concurrency><race-condition>"
"48821389","48818836","874188","<awk>"
"48821393","48821132","5576310","<ios><swift><uitableview>"
"48821470","48821181","9331639","<php><jquery>"
"48821484","48821277","4269964","<angular><autocomplete><observable><angular5>"
"48821494","48821149","5867784","<c#>"
"48821515","48821155","8995290","<javascript><architecture><dojo><race-condition>"
"48821530","48821225","1647074","<ios><swift><uitableview><swift4><swift-protocols>"
"48821563","48821246","1645600","<javascript><jquery><asp.net><asp.net-mvc>"
"48821687","48821098","4694871","<node.js><formidable>"
"48821693","48818964","5580267","<c#><computer-vision><ocr><microsoft-cognitive><azure-cognitive-services>"
"48821696","48821196","146325","<sql><oracle><plsql><plsqldeveloper><plsql-package>"
"48821767","48821309","4474419","<c><pointers>"
"48821789","48821236","860120","<php><symfony><symfony-forms><symfony-2.8>"
"48821904","48821079","4411614","<javascript><angularjs><angular-datatables>"
"48822197","48821216","20713","<c++><protocol-buffers><google-protocol-buffer>"
"48822211","48818716","1600898","<python><linux><python-3.x><websocket><python-asyncio>"
"48822251","48821071","4453351","<amazon-s3><google-cloud-platform><google-cloud-storage><amazon-glacier><ibm-cloud-storage>"
"48822276","48821115","50543","<jcr><modeshape><jackrabbit-oak>"
"48822405","48821220","5726027","<ffmpeg>"
"48822544","48821146","3832970","<regex><go>"
"48822864","48818864","5924523","<google-cloud-platform><google-cloud-datastore>"
"48822883","48818898","975755","<xpath><web-scraping><css-selectors><scrapy>"
"48823379","48823340","2422776","<mysql><sql><database><database-design>"
"48823420","48823400","2901002","<python><pandas>"
"48823435","48821129","6696546","<oracle-apex><oracle-apex-5>"
"48823448","48823357","8533732","<css><materialize>"
"48823500","48823417","2099119","<mysql>"
"48823525","48823378","1915448","<java><spring-boot><rest><model-view-controller>"
"48823527","48823450","1267975","<java><arraylist>"
"48823541","48823431","4323","<python-3.x><parsing><websocket><cryptocurrency>"
"48823549","48823356","5861618","<java><android><firebase><firebase-realtime-database><android-recyclerview>"
"48819983","48819939","283366","<vuejs2>"
"48820043","48819933","9341311","<javascript><regex><split>"
"48820067","48819953","3045336","<swift><inheritance><struct>"
"48820081","48820080","2443005","<css><safari><css-animations><mobile-safari>"
"48820095","48820066","1440565","<java><variables><private-members>"
"48820096","48819972","9341185","<python><datetime>"
"48820124","48820078","1863229","<mysql><sql>"
"48820126","48820087","2844319","<php><arrays><sorting>"
"48820127","48820086","2357112","<python><numpy><linear-algebra>"
"48820135","48820118","4760331","<python><variables>"
"48820181","48820143","314291","<sql-server>"
"48820415","48820033","447970","<excel><layout><pie-chart>"
"48820417","48820004","585968","<c#><user-interface><freeze>"
"48820462","48820123","3607064","<html><css><html-table><border>"
"48820662","48820045","6464308","<sql><postgresql><database-locking><read-committed>"
"48820716","48820038","7005159","<git><azure><asp.net-core><azure-web-app-service>"
"48820730","48819996","66686","<mysql><jpa><spring-data-jpa>"
"48820768","48820138","997358","<json><jq>"
"48821204","48819961","","<asp.net-mvc>"
"48821424","48819946","6277151","<javascript><data-binding><polymer>"
"48821597","48820057","438882","<python><python-3.x><python-2.7><logic>"
"48822369","48822326","6408714","<html><css>"
"48822392","48822359","939410","<c><mingw>"
"48822428","48822299","1227923","<laravel><join><eloquent>"
"48822456","48822345","6947281","<powershell>"
"48822457","48822426","1496715","<jquery><css>"
"48822498","48819963","532314","<php><mysql><join><foreach><while-loop>"
"48822508","48822434","310726","<angular><rxjs>"
"48822539","48822441","5880706","<scala><apache-spark>"
"48822549","48822346","4866947","<jquery><datatables><pageload>"
"48822556","48822446","5830036","<ruby-on-rails>"
"48822562","48822391","2820409","<c#><entity-framework><linq><razor>"
"48822563","48822348","4236400","<mysql><sql>"
"48822575","48822349","3916831","<javascript><angularjs><checkbox>"
"48822606","48822320","1027277","<android><android-recyclerview>"
"48822716","48822312","6013291","<java><android><android-fragments>"
"48822791","48822445","3768239","<javascript><php><jquery><ajax><file-upload>"
"48822873","48822303","447901","<batch-file><cmd>"
"48822910","48822310","5159168","<php>"
"48823001","48820146","3306192","<css><angular><angular-flex-layout>"
"48823297","48822374","5836277","<node.js><nuxt.js>"
"48823408","48822368","6565093","<mongodb><spring-boot><spring-data-mongodb>"
"48823485","48822381","3433323","<python><group-by><pyspark><spark-dataframe>"
"48823575","48822340","3150445","<batch-file><vbscript>"
"48824028","48823977","5424988","<regex><powershell>"
"48824079","48823986","2901002","<python><pandas><dataframe><pivot-table><pandas-groupby>"
"48824176","48824076","598696","<c++><c++11><stl><c++14><stdvector>"
"48824215","48824144","5864483","<sql><pandas><sqlite><jupyter>"
"48824225","48824210","598696","<c++><struct>"
"48824275","48824142","294657","<java><maven>"
"48824312","48824010","4131048","<javascript><configuration><calendar><momentjs>"
"48824318","48824283","5012099","<python><vim><call>"
"48824354","48824265","400222","<chef-infra><chef-recipe>"
"48824375","48824116","5431418","<mysql><sql-server><database>"
"48824382","48824273","8567167","<php><html><css><if-statement>"
"48824392","48824216","3788176","<java><generics>"
"48824393","48824292","3668759","<html><css><wordpress><user-experience>"
"48824420","48824118","5823126","<r><coordinates><distance><scatter-plot>"
"48824421","48824195","76237","<java><xml><sax>"
"48824435","48824085","3359782","<php><wordpress><post-meta>"
"48824442","48824126","4866947","<javascript><html>"
"48824443","48824092","4347482","<php><database><laravel><orm><eloquent>"
"48824445","48824012","284240","<vb.net><linq><datatable>"
"48824490","48824244","4804629","<php>"
"48824518","48824229","6085896","<spring><spring-mvc><spring-boot>"
"48824523","48820073","953439","<libsodium><nacl-cryptography>"
"48824536","48824036","4643895","<javascript><ajax><iframe><get>"
"48824539","48824284","46395","<perl><if-statement><replace>"
"48824549","48822363","5296262","<ios><xcode><macos><executable><swift4>"
"48824622","48824299","5089204","<sql><sql-server><tsql><sql-server-2014><datetime-format>"
"48824641","48823955","2034487","<python><pandas><dataframe><ordereddictionary>"
"48824661","48823981","6848923","<angular>"
"48824838","48824014","3476897","<java><lwjgl>"
"48824872","48824202","4503693","<c#><.net><xml><serialization>"
"48824922","48824263","1811700","<c#><automapper><circular-reference>"
"48826010","48824063","3283141","<php><syntax-error><magento2>"
"48826035","48823971","3694288","<angular><cypress>"
"48826320","48824117","1144035","<sql><group-by><hive><hiveql>"
"48826388","48823979","8601760","<aspnetboilerplate>"
"48826849","48824274","8944752","<hyperledger-fabric><hyperledger><hyperledger-composer>"
"48819660","48819634","4909087","<python><pandas><dataframe><apply>"
"48819697","48819687","1863229","<php><mysql>"
"48819700","48819644","4909087","<python><pandas><pandas-groupby>"
"48819703","48819652","2506213","<java><while-loop>"
"48819705","48819655","2288659","<perl>"
"48819780","48819734","159145","<c++><c++11><if-statement><assignment-operator><auto>"
"48819830","48819741","2598349","<java><android><xml><menu>"
"48819843","48819767","7964527","<python><pandas><lambda>"
"48819844","48819667","9281298","<r>"
"48819853","48819715","440558","<c++><dictionary><comparison>"
"48819858","48819751","2930661","<php><arrays><string><ini>"
"48819865","48819841","9341311","<java><mysql><jsp>"
"48819888","48819676","9144410","<css><css-animations>"
"48819896","48819869","440558","<c++><linux><x11><glfw><vulkan>"
"48819948","48819885","497815","<javascript><axios>"
"48819949","48819788","3159267","<android><android-layout><android-fragments>"
"48820010","48819786","1353011","<java><jquery><ajax><jsp>"
"48820011","48819750","4954098","<c++><opengl><shader><sfml><glew>"
"48820088","48819798","3130735","<python><matrix><linear-algebra><matrix-inverse>"
"48820177","48819792","9348637","<laravel><foreign-keys><posts>"
"48820299","48819732","7402623","<vba><excel>"
"48820443","48819659","4458510","<python>"
"48820532","48819842","6537233","<php><css><codeigniter>"
"48820692","48819694","6622587","<python><pyqt><pyqt5><qtableview>"
"48820748","48819880","5995973","<javascript><angularjs><angularjs-bootstrap>"
"48821019","48819744","3946728","<wordpress><wordpress-rest-api>"
"48821165","48819679","1008568","<gradle><pact>"
"48821235","48819906","3164900","<java><android><bluetooth-lowenergy><beacon>"
"48821259","48819812","5876052","<android-layout><android-fragments><android-arrayadapter>"
"48821349","48819631","734069","<c++><cpp-core-guidelines><guideline-support-library>"
"48821479","48819905","7669490","<python><pygame>"
"48821503","48819743","6464308","<linux><postgresql><psycopg2><postgresql-9.5>"
"48821830","48819736","209103","<html><firebase><firebase-hosting>"
"48822090","48822019","1863229","<tsql><sql-server-2012-express>"
"48822092","48822061","2901002","<python><pandas><loops><dataframe>"
"48822130","48822060","5185595","<reactjs><jsx>"
"48822150","48822014","8500110","<c#><asp.net>"
"48822203","48822046","7036419","<java><processbuilder>"
"48822216","48822016","882003","<c++><eclipse><macos><debugging><exit-code>"
"48822218","48822134","6295433","<html><css>"
"48822230","48822023","1227923","<php><laravel><eloquent>"
"48822267","48822235","882003","<c++><c><hex><bits>"
"48822294","48822262","125816","<ruby><regex><string><gsub>"
"48822322","48822188","9130109","<android><android-layout><android-styles><android-collapsingtoolbarlayout>"
"48822338","48822168","6313073","<html><favicon>"
"48822394","48822223","2091247","<sql><ms-access>"
"48822416","48822155","4492932","<python><python-3.x>"
"48822431","48822199","8995290","<javascript><html><vue.js><vue-component><vue-router>"
"48822493","48822086","3185459","<linux><bash><awk>"
"48822580","48822177","7368203","<python><pandas><numpy><train-test-split>"
"48822776","48822088","1833603","<angular><symfony><symfony-3.4>"
"48822823","48822264","209103","<firebase><firebase-realtime-database>"
"48822882","48822195","3410174","<git><sqlite><cordova><npm>"
"48822895","48819683","3702797","<javascript><html><canvas>"
"48822973","48822135","5866580","<unix><awk>"
"48823030","48819761","5832540","<python><scrapy>"
"48823114","48822277","5140436","<c#><css><asp.net>"
"48823285","48822110","7440243","<php><laravel><routes>"
"48823413","48819682","471070","<java><sql-update><relational-database><hsqldb>"
"48823491","48819808","415448","<xpath><xquery><xquery-3.0>"
"48823825","48822273","6997262","<azure><dynamic><ip><azure-load-balancer><azure-public-ip>"
"48824033","48822067","990779","<c#><visual-studio><console>"
"48824440","48824341","1227923","<php><laravel>"
